frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776192587.116200668","192.168.0.110","192.168.0.110","53713","1883","68","0x0010",,
"1776192587.116418668","192.168.0.110","192.168.0.110","53713","1883","102","0x0018","1",
"1776192587.116447335","192.168.0.110","192.168.0.110","1883","53713","68","0x0010",,
"1776192587.116885002","127.0.0.1","127.0.0.1","37740","39829","76","0x0002",,
"1776192587.116918210","127.0.0.1","127.0.0.1","39829","37740","76","0x0012",,
"1776192587.116952168","127.0.0.1","127.0.0.1","37740","39829","68","0x0010",,
"1776192587.117002960","192.168.0.110","192.168.0.110","1883","53713","72","0x0018","2",
"1776192587.117035793","192.168.0.110","192.168.0.110","53713","1883","68","0x0010",,
"1776192587.927114460","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192587.927177627","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192588.118939794","192.168.0.110","192.168.0.110","45861","1883","76","0x0002",,
"1776192588.119016544","192.168.0.110","192.168.0.110","1883","45861","76","0x0012",,
"1776192588.119067585","192.168.0.110","192.168.0.110","45861","1883","68","0x0010",,
"1776192588.119325210","192.168.0.110","192.168.0.110","45861","1883","102","0x0018","1",
"1776192588.119352502","192.168.0.110","192.168.0.110","1883","45861","68","0x0010",,
"1776192588.119499752","127.0.0.1","127.0.0.1","37024","42125","76","0x0002",,
"1776192588.119529085","127.0.0.1","127.0.0.1","42125","37024","76","0x0012",,
"1776192588.119559877","127.0.0.1","127.0.0.1","37024","42125","68","0x0010",,
"1776192588.122255669","192.168.0.110","192.168.0.110","1883","45861","72","0x0018","2",
"1776192588.122312460","192.168.0.110","192.168.0.110","45861","1883","68","0x0010",,
"1776192588.927749961","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192588.927843127","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192588.928014544","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192588.928049836","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192589.121169461","192.168.0.110","192.168.0.110","58791","1883","76","0x0002",,
"1776192589.121228836","192.168.0.110","192.168.0.110","1883","58791","76","0x0012",,
"1776192589.121276711","192.168.0.110","192.168.0.110","58791","1883","68","0x0010",,
"1776192589.121539836","192.168.0.110","192.168.0.110","58791","1883","102","0x0018","1",
"1776192589.121572378","192.168.0.110","192.168.0.110","1883","58791","68","0x0010",,
"1776192589.121893961","127.0.0.1","127.0.0.1","49546","46865","76","0x0002",,
"1776192589.121926086","127.0.0.1","127.0.0.1","46865","49546","76","0x0012",,
"1776192589.121959461","192.168.0.110","192.168.0.110","1883","58791","72","0x0018","2",
"1776192589.121959753","127.0.0.1","127.0.0.1","49546","46865","68","0x0010",,
"1776192589.121992169","192.168.0.110","192.168.0.110","58791","1883","68","0x0010",,
"1776192589.123288378","127.0.0.1","127.0.0.1","46865","49546","69","0x0018",,
"1776192589.123334544","127.0.0.1","127.0.0.1","49546","46865","68","0x0010",,
"1776192589.123531211","192.168.0.110","192.168.0.110","58791","1883","111","0x0018","3","icu/attacker/slowite_like"
"1776192589.168485128","192.168.0.110","192.168.0.110","1883","58791","68","0x0010",,
"1776192589.927588003","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192589.927758253","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192589.927847961","192.168.0.113","192.168.0.110","35231","1883","935","0x0018","3","Temperature"
"1776192589.927876045","192.168.0.110","192.168.0.113","1883","35231","68","0x0010",,
"1776192590.126087336","192.168.0.110","192.168.0.110","41827","1883","76","0x0002",,
"1776192590.126146211","192.168.0.110","192.168.0.110","1883","41827","76","0x0012",,
"1776192590.126196045","192.168.0.110","192.168.0.110","41827","1883","68","0x0010",,
"1776192590.126394420","192.168.0.110","192.168.0.110","41827","1883","102","0x0018","1",
"1776192590.126420670","192.168.0.110","192.168.0.110","1883","41827","68","0x0010",,
"1776192590.126597961","127.0.0.1","127.0.0.1","54386","45739","76","0x0002",,
"1776192590.126767878","127.0.0.1","127.0.0.1","45739","54386","76","0x0012",,
"1776192590.126826878","127.0.0.1","127.0.0.1","54386","45739","68","0x0010",,
"1776192590.127880586","192.168.0.110","192.168.0.110","1883","41827","72","0x0018","2",
"1776192590.127936003","192.168.0.110","192.168.0.110","41827","1883","68","0x0010",,
"1776192590.928195795","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192590.928269837","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192591.128875253","192.168.0.110","192.168.0.110","50743","1883","76","0x0002",,
"1776192591.128930378","192.168.0.110","192.168.0.110","1883","50743","76","0x0012",,
"1776192591.128970253","192.168.0.110","192.168.0.110","50743","1883","68","0x0010",,
"1776192591.129131587","192.168.0.110","192.168.0.110","50743","1883","102","0x0018","1",
"1776192591.129153712","192.168.0.110","192.168.0.110","1883","50743","68","0x0010",,
"1776192591.129284212","127.0.0.1","127.0.0.1","40428","36537","76","0x0002",,
"1776192591.129307087","127.0.0.1","127.0.0.1","36537","40428","76","0x0012",,
"1776192591.129329545","127.0.0.1","127.0.0.1","40428","36537","68","0x0010",,
"1776192591.129466087","192.168.0.110","192.168.0.110","1883","50743","72","0x0018","2",
"1776192591.129491503","192.168.0.110","192.168.0.110","50743","1883","68","0x0010",,
"1776192591.925236296","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192591.925310254","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192591.925397879","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192591.925426296","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192592.131347254","192.168.0.110","192.168.0.110","45217","1883","76","0x0002",,
"1776192592.131391421","192.168.0.110","192.168.0.110","1883","45217","76","0x0012",,
"1776192592.131432379","192.168.0.110","192.168.0.110","45217","1883","68","0x0010",,
"1776192592.131791962","192.168.0.110","192.168.0.110","45217","1883","102","0x0018","1",
"1776192592.131820546","192.168.0.110","192.168.0.110","1883","45217","68","0x0010",,
"1776192592.131948921","127.0.0.1","127.0.0.1","38026","41443","76","0x0002",,
"1776192592.131979629","127.0.0.1","127.0.0.1","41443","38026","76","0x0012",,
"1776192592.131987629","192.168.0.110","192.168.0.110","1883","45217","72","0x0018","2",
"1776192592.132011296","127.0.0.1","127.0.0.1","38026","41443","68","0x0010",,
"1776192592.132018796","192.168.0.110","192.168.0.110","45217","1883","68","0x0010",,
"1776192592.922761171","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192592.922821296","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192593.135500754","192.168.0.110","192.168.0.110","41825","1883","76","0x0002",,
"1776192593.135574671","192.168.0.110","192.168.0.110","1883","41825","76","0x0012",,
"1776192593.135709546","192.168.0.110","192.168.0.110","41825","1883","68","0x0010",,
"1776192593.135950213","192.168.0.110","192.168.0.110","41825","1883","102","0x0018","1",
"1776192593.135981046","192.168.0.110","192.168.0.110","1883","41825","68","0x0010",,
"1776192593.136182671","127.0.0.1","127.0.0.1","55470","33429","76","0x0002",,
