frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054848.305860113","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054849.309750795","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054849.309818546","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054849.309926921","192.168.0.120","192.168.0.110","40409","1883","978","0x0018","3","Movement"
"1776054849.309957212","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054849.310232504","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054849.310266796","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054850.304736466","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054850.304797758","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054850.304863799","192.168.0.120","192.168.0.110","40409","1883","965","0x0018","3","Movement"
"1776054850.304882799","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054851.314501949","192.168.0.113","192.168.0.110","35227","1883","935","0x0018","3","Temperature"
"1776054851.314613199","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054851.314678282","192.168.0.120","192.168.0.110","40409","1883","1004","0x0018","3","Movement"
"1776054851.314707657","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054851.314783032","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054851.314811657","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054851.723544932",,,,,"144",,,
"1776054851.728355397",,,,,"152",,,
"1776054852.310460370","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054852.310579662","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054852.310696454","192.168.0.120","192.168.0.110","40409","1883","1004","0x0018","3","Movement"
"1776054852.310726121","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054852.310843246","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054852.310871454","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054852.646318627",,,,,"152",,,
"1776054853.308580170","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054853.308636837","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054853.308889921","192.168.0.120","192.168.0.110","40409","1883","1381","0x0018","3","Movement"
"1776054853.308940754","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054854.306772137","192.168.0.111","192.168.0.110","44505","1883","70","0x0018","12",
"1776054854.306844262","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054854.307176637","192.168.0.110","192.168.0.111","1883","44505","70","0x0018","13",
"1776054854.307209554","192.168.0.111","192.168.0.110","44505","1883","68","0x0010",,
"1776054854.307316971","192.168.0.112","192.168.0.110","42981","1883","733","0x0018","12","Movement"
"1776054854.307361013","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054854.307601805","192.168.0.113","192.168.0.110","35227","1883","70","0x0018","12",
"1776054854.307605763","192.168.0.110","192.168.0.112","1883","42981","70","0x0018","13",
"1776054854.307630180","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054854.307640555","192.168.0.112","192.168.0.110","42981","1883","68","0x0010",,
"1776054854.307721596","192.168.0.120","192.168.0.110","40409","1883","1331","0x0018","12","Movement"
"1776054854.307740805","192.168.0.110","192.168.0.113","1883","35227","70","0x0018","13",
"1776054854.307748138","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054854.307766013","192.168.0.113","192.168.0.110","35227","1883","68","0x0010",,
"1776054854.307849847","192.168.0.110","192.168.0.120","1883","40409","70","0x0018","13",
"1776054854.307889472","192.168.0.120","192.168.0.110","40409","1883","68","0x0010",,
"1776054855.310845362","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
