frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1775524206.704173004","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524206.704201879","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524207.701805109","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524207.701959400","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524208.702774924","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524208.702806924","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524208.702845674","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524208.702911633","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524209.702277909","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524209.702337951","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524209.702436534","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524209.702465868","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524210.702025855","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524210.702053230","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524211.702268512","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
